"","location","city","country","utc","local","parameter","value","unit","latitude","longitude","attribution","fyh","fecha","horas","dias","meses"
"30","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T00:00:00.000Z","2019-09-08T19:00:00-05:00","o3",0.0172,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 00:00:00,2019-09-09,0,9,9
"31","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T23:00:00.000Z","2019-09-08T18:00:00-05:00","o3",0.0333,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 23:00:00,2019-09-08,23,8,9
"32","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T22:00:00.000Z","2019-09-08T17:00:00-05:00","o3",0.0355,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 22:00:00,2019-09-08,22,8,9
"33","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T21:00:00.000Z","2019-09-08T16:00:00-05:00","o3",0.0328,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 21:00:00,2019-09-08,21,8,9
"34","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T20:00:00.000Z","2019-09-08T15:00:00-05:00","o3",0.0332,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 20:00:00,2019-09-08,20,8,9
"35","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T19:00:00.000Z","2019-09-08T14:00:00-05:00","o3",0.0308,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 19:00:00,2019-09-08,19,8,9
"36","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T18:00:00.000Z","2019-09-08T13:00:00-05:00","o3",0.0306,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 18:00:00,2019-09-08,18,8,9
"37","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T17:00:00.000Z","2019-09-08T12:00:00-05:00","o3",0.0323,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 17:00:00,2019-09-08,17,8,9
"38","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T16:00:00.000Z","2019-09-08T11:00:00-05:00","o3",0.0298,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 16:00:00,2019-09-08,16,8,9
"39","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T15:00:00.000Z","2019-09-08T10:00:00-05:00","o3",0.0196,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 15:00:00,2019-09-08,15,8,9
"40","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T14:00:00.000Z","2019-09-08T09:00:00-05:00","o3",0.0029,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 14:00:00,2019-09-08,14,8,9
"41","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T13:00:00.000Z","2019-09-08T08:00:00-05:00","o3",0.0014,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 13:00:00,2019-09-08,13,8,9
"42","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T12:00:00.000Z","2019-09-08T07:00:00-05:00","o3",0.001,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 12:00:00,2019-09-08,12,8,9
